"Gene.name.uniq"	"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"Gene.stable.ID"	"Gene.name"	"ZFIN.ID"	"Gene.description"	"Source.of.gene.name"
"specc1"	2.05462560036085e-06	0.302493175799189	0.101	0.037	0.0526436171324458	"4"	"ENSDARG00000029480"	"specc1"	"https://zfin.org/ZDB-GENE-060526-207"	"sperm antigen with calponin homology and coiled-coil domains 1 [Source:ZFIN;Acc:ZDB-GENE-060526-207]"	"ZFIN"
"psmb7"	0.000853569024441732	0.302895313495369	0.119	0.063	1	"4"	"ENSDARG00000037962"	"psmb7"	"https://zfin.org/ZDB-GENE-001208-4"	"proteasome subunit beta 7 [Source:ZFIN;Acc:ZDB-GENE-001208-4]"	"ZFIN"
"hif1ab"	0.000386619238753315	0.303034220889499	0.235	0.144	1	"4"	"ENSDARG00000034293"	"hif1ab"	"https://zfin.org/ZDB-GENE-040426-706"	"hypoxia inducible factor 1 subunit alpha b [Source:ZFIN;Acc:ZDB-GENE-040426-706]"	"ZFIN"
"ppil1"	0.00277917376744478	0.30358506517413	0.123	0.07	1	"4"	"ENSDARG00000015422"	"ppil1"	"https://zfin.org/ZDB-GENE-051009-1"	"peptidylprolyl isomerase (cyclophilin)-like 1 [Source:ZFIN;Acc:ZDB-GENE-051009-1]"	"ZFIN"
"fam133b"	0.000804498751735417	0.303898970828686	0.246	0.158	1	"4"	"ENSDARG00000013863"	"fam133b"	"https://zfin.org/ZDB-GENE-060503-229"	"family with sequence similarity 133 member B [Source:ZFIN;Acc:ZDB-GENE-060503-229]"	"ZFIN"
"ahnak"	1.30555649611844e-06	0.303974600759662	0.657	0.506	0.0334509685435466	"4"	"ENSDARG00000061764"	"ahnak"	"https://zfin.org/ZDB-GENE-030131-8719"	"AHNAK nucleoprotein [Source:ZFIN;Acc:ZDB-GENE-030131-8719]"	"ZFIN"
"ccng2"	0.000679331514320228	0.304099243754233	0.183	0.11	1	"4"	"ENSDARG00000017602"	"ccng2"	"https://zfin.org/ZDB-GENE-021016-1"	"cyclin G2 [Source:ZFIN;Acc:ZDB-GENE-021016-1]"	"ZFIN"
"irx1a"	6.14672462428283e-05	0.305062815658847	0.104	0.046	1	"4"	"ENSDARG00000101831"	"irx1a"	"https://zfin.org/ZDB-GENE-040707-1"	"iroquois homeobox 1a [Source:ZFIN;Acc:ZDB-GENE-040707-1]"	"ZFIN"
"enpp1"	0.000339166946006799	0.306206852535245	0.153	0.083	1	"4"	"ENSDARG00000005789"	"enpp1"	"https://zfin.org/ZDB-GENE-040724-172"	"ectonucleotide pyrophosphatase/phosphodiesterase 1 [Source:ZFIN;Acc:ZDB-GENE-040724-172]"	"ZFIN"
"ndfip1"	0.00128489520659126	0.306529317730395	0.131	0.074	1	"4"	"ENSDARG00000013979"	"ndfip1"	"https://zfin.org/ZDB-GENE-030131-2767"	"Nedd4 family interacting protein 1 [Source:ZFIN;Acc:ZDB-GENE-030131-2767]"	"ZFIN"
"atp6v0ca"	0.000183608410253333	0.308025150689475	0.187	0.105	1	"4"	"ENSDARG00000057853"	"atp6v0ca"	"https://zfin.org/ZDB-GENE-020419-23"	"ATPase H+ transporting V0 subunit ca [Source:ZFIN;Acc:ZDB-GENE-020419-23]"	"ZFIN"
"cav2"	0.000443640016484166	0.3080698608704	0.112	0.056	1	"4"	"ENSDARG00000052000"	"cav2"	"https://zfin.org/ZDB-GENE-040625-164"	"caveolin 2 [Source:ZFIN;Acc:ZDB-GENE-040625-164]"	"ZFIN"
"st14a"	0.000136967747897378	0.308764299699501	0.116	0.055	1	"4"	"ENSDARG00000061173"	"st14a"	"https://zfin.org/ZDB-GENE-030131-6496"	"suppression of tumorigenicity 14a [Source:ZFIN;Acc:ZDB-GENE-030131-6496]"	"ZFIN"
"arhgef1b"	0.00113199975883664	0.30892403730828	0.187	0.115	1	"4"	"ENSDARG00000055837"	"arhgef1b"	"https://zfin.org/ZDB-GENE-060616-136"	"Rho guanine nucleotide exchange factor (GEF) 1b [Source:ZFIN;Acc:ZDB-GENE-060616-136]"	"ZFIN"
"chmp5b"	0.000209030320007439	0.30970372571091	0.138	0.072	1	"4"	"ENSDARG00000103718"	"chmp5b"	"https://zfin.org/ZDB-GENE-040426-1374"	"charged multivesicular body protein 5b [Source:ZFIN;Acc:ZDB-GENE-040426-1374]"	"ZFIN"
"cmah"	1.44734508408599e-05	0.310225399767668	0.131	0.059	0.370838757444513	"4"	"ENSDARG00000057714"	"cmah"	"https://zfin.org/ZDB-GENE-040704-33"	"cytidine monophospho-N-acetylneuraminic acid hydroxylase [Source:ZFIN;Acc:ZDB-GENE-040704-33]"	"ZFIN"
"smarca4a"	0.000606313211744424	0.311643004812758	0.131	0.069	1	"4"	"ENSDARG00000077226"	"smarca4a"	"https://zfin.org/ZDB-GENE-030605-1"	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4a [Source:ZFIN;Acc:ZDB-GENE-030605-1]"	"ZFIN"
"nr1d2a"	0.00024644458770377	0.311769049934794	0.265	0.167	1	"4"	"ENSDARG00000003820"	"nr1d2a"	"https://zfin.org/ZDB-GENE-040504-1"	"nuclear receptor subfamily 1, group D, member 2a [Source:ZFIN;Acc:ZDB-GENE-040504-1]"	"ZFIN"
"igf1rb"	0.000830313898160997	0.311797559196699	0.224	0.142	1	"4"	"ENSDARG00000034434"	"igf1rb"	"https://zfin.org/ZDB-GENE-020503-2"	"insulin-like growth factor 1b receptor [Source:ZFIN;Acc:ZDB-GENE-020503-2]"	"ZFIN"
"ap1s3b"	0.000409107962888814	0.312442368559198	0.138	0.075	1	"4"	"ENSDARG00000027966"	"ap1s3b"	"https://zfin.org/ZDB-GENE-040912-62"	"adaptor related protein complex 1 subunit sigma 3b [Source:ZFIN;Acc:ZDB-GENE-040912-62]"	"ZFIN"
"elovl1b"	4.18543809312363e-05	0.312596208421837	0.123	0.056	1	"4"	"ENSDARG00000103735"	"elovl1b"	"https://zfin.org/ZDB-GENE-040426-2755"	"ELOVL fatty acid elongase 1b [Source:ZFIN;Acc:ZDB-GENE-040426-2755]"	"ZFIN"
"selenof"	6.98136971369051e-05	0.313105208388557	0.134	0.066	1	"4"	"ENSDARG00000099664"	"selenof"	"https://zfin.org/ZDB-GENE-030327-1"	"selenoprotein F [Source:ZFIN;Acc:ZDB-GENE-030327-1]"	"ZFIN"
"psmb3"	0.000265717190222092	0.313170685452507	0.146	0.077	1	"4"	"ENSDARG00000013938"	"psmb3"	"https://zfin.org/ZDB-GENE-040426-2682"	"proteasome subunit beta 3 [Source:ZFIN;Acc:ZDB-GENE-040426-2682]"	"ZFIN"
"mcl1b"	0.000711647560624757	0.31390322461796	0.31	0.213	1	"4"	"ENSDARG00000008363"	"mcl1b"	"https://zfin.org/ZDB-GENE-030825-1"	"MCL1 apoptosis regulator, BCL2 family member b [Source:ZFIN;Acc:ZDB-GENE-030825-1]"	"ZFIN"
"atp5fa1"	0.000322487936672865	0.313924043634242	0.216	0.128	1	"4"	"ENSDARG00000010149"	"atp5fa1"	"https://zfin.org/ZDB-GENE-060201-1"	"ATP synthase F1 subunit alpha [Source:ZFIN;Acc:ZDB-GENE-060201-1]"	"ZFIN"
"chmp2a"	0.000684779246082417	0.314215328021546	0.119	0.063	1	"4"	"ENSDARG00000053979"	"chmp2a"	"https://zfin.org/ZDB-GENE-040426-2922"	"charged multivesicular body protein 2A [Source:ZFIN;Acc:ZDB-GENE-040426-2922]"	"ZFIN"
"arl4cb"	0.00299010895821649	0.315008724317892	0.119	0.069	1	"4"	"ENSDARG00000032708"	"arl4cb"	"https://zfin.org/ZDB-GENE-040426-2382"	"ADP-ribosylation factor-like 4Cb [Source:ZFIN;Acc:ZDB-GENE-040426-2382]"	"ZFIN"
"ftr87"	0.000104781997315114	0.316580073743731	0.116	0.055	1	"4"	"ENSDARG00000102557"	"ftr87"	"https://zfin.org/ZDB-GENE-131127-62"	"finTRIM family, member 87 [Source:ZFIN;Acc:ZDB-GENE-131127-62]"	"ZFIN"
"fgfr1a"	3.99953376171082e-06	0.319956862796288	0.597	0.437	0.102476054042555	"4"	"ENSDARG00000011027"	"fgfr1a"	"https://zfin.org/ZDB-GENE-980526-255"	"fibroblast growth factor receptor 1a [Source:ZFIN;Acc:ZDB-GENE-980526-255]"	"ZFIN"
"tent5bb"	1.41791875688769e-07	0.320117669990507	0.5	0.314	0.00363299143889764	"4"	"ENSDARG00000011797"	"tent5bb"	"https://zfin.org/ZDB-GENE-060503-431"	"terminal nucleotidyltransferase 5Bb [Source:ZFIN;Acc:ZDB-GENE-060503-431]"	"ZFIN"
"si:ch211-207i1.2"	0.00010605467393141	0.320229275248036	0.201	0.117	1	"4"	"ENSDARG00000030107"	"si:ch211-207i1.2"	"https://zfin.org/ZDB-GENE-041014-149"	"si:ch211-207i1.2 [Source:ZFIN;Acc:ZDB-GENE-041014-149]"	"ZFIN"
"klf3"	1.69291746173319e-05	0.323138902662758	0.198	0.104	0.433759312045277	"4"	"ENSDARG00000015495"	"klf3"	"https://zfin.org/ZDB-GENE-011116-1"	"Kruppel-like factor 3 (basic) [Source:ZFIN;Acc:ZDB-GENE-011116-1]"	"ZFIN"
"ywhabl"	0.000834305763643769	0.32585500232192	0.194	0.121	1	"4"	"ENSDARG00000040287"	"ywhabl"	"https://zfin.org/ZDB-GENE-030131-448"	"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta polypeptide like [Source:ZFIN;Acc:ZDB-GENE-030131-448]"	"ZFIN"
"CU467961.1"	0.000441045737073546	0.326420067150046	0.16	0.091	1	"4"	"ENSDARG00000078270"	"CU467961.1"	"https://zfin.org/"	"microtubule associated serine/threonine kinase family member 4 [Source:NCBI gene;Acc:100149322]"	"Clone-based (Ensembl) gene"
"plekho1b"	6.11035893139554e-06	0.326568408404121	0.276	0.156	0.156559616540217	"4"	"ENSDARG00000077499"	"plekho1b"	"https://zfin.org/ZDB-GENE-100609-2"	"pleckstrin homology domain containing, family O member 1b [Source:ZFIN;Acc:ZDB-GENE-100609-2]"	"ZFIN"
"tmem131l"	0.00036722057908912	0.326696011601669	0.116	0.058	1	"4"	"ENSDARG00000079434"	"tmem131l"	"https://zfin.org/ZDB-GENE-030131-6110"	"transmembrane 131 like [Source:ZFIN;Acc:ZDB-GENE-030131-6110]"	"ZFIN"
"eya4"	3.80638992382802e-06	0.329815585779592	0.34	0.203	0.0975273226283215	"4"	"ENSDARG00000012397"	"eya4"	"https://zfin.org/ZDB-GENE-050327-93"	"EYA transcriptional coactivator and phosphatase 4 [Source:ZFIN;Acc:ZDB-GENE-050327-93]"	"ZFIN"
"kdm5bb"	0.000144065773194697	0.331060999865802	0.127	0.063	1	"4"	"ENSDARG00000003098"	"kdm5bb"	"https://zfin.org/ZDB-GENE-030424-1"	"lysine (K)-specific demethylase 5Bb [Source:ZFIN;Acc:ZDB-GENE-030424-1]"	"ZFIN"
"cgnb"	1.51529053673579e-06	0.331170573625589	0.116	0.045	0.0388247741322443	"4"	"ENSDARG00000058690"	"cgnb"	"https://zfin.org/ZDB-GENE-050208-72"	"cingulin b [Source:ZFIN;Acc:ZDB-GENE-050208-72]"	"ZFIN"
"zgc:162698"	6.82371731868608e-05	0.333313598438109	0.119	0.056	1	"4"	"ENSDARG00000074967"	"zgc:162698"	"https://zfin.org/ZDB-GENE-041111-185"	"zgc:162698 [Source:ZFIN;Acc:ZDB-GENE-041111-185]"	"ZFIN"
"ywhaba"	2.29003802069093e-05	0.33449456041913	0.257	0.149	0.58675354166143	"4"	"ENSDARG00000013078"	"ywhaba"	"https://zfin.org/ZDB-GENE-030131-6583"	"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta polypeptide a [Source:ZFIN;Acc:ZDB-GENE-030131-6583]"	"ZFIN"
"hif1al"	7.54329141680224e-05	0.334718262181377	0.198	0.11	1	"4"	"ENSDARG00000100826"	"hif1al"	"https://zfin.org/ZDB-GENE-040426-1315"	"hypoxia inducible factor 1 subunit alpha, like [Source:ZFIN;Acc:ZDB-GENE-040426-1315]"	"ZFIN"
"ndrg2"	2.90647357922352e-07	0.337931154830356	0.28	0.146	0.00744696660468651	"4"	"ENSDARG00000011170"	"ndrg2"	"https://zfin.org/ZDB-GENE-041212-15"	"NDRG family member 2 [Source:ZFIN;Acc:ZDB-GENE-041212-15]"	"ZFIN"
"ubb"	1.71195801052725e-05	0.337993761381544	0.119	0.052	0.438637881457292	"4"	"ENSDARG00000093313"	"ubb"	"https://zfin.org/ZDB-GENE-050411-10"	"ubiquitin B [Source:ZFIN;Acc:ZDB-GENE-050411-10]"	"ZFIN"
"tiam1a"	1.39576268716491e-05	0.338984049311808	0.101	0.041	0.357622315705394	"4"	"ENSDARG00000078430"	"tiam1a"	"https://zfin.org/ZDB-GENE-080325-1"	"T cell lymphoma invasion and metastasis 1a [Source:ZFIN;Acc:ZDB-GENE-080325-1]"	"ZFIN"
"zgc:56525"	3.80765693118548e-05	0.340607176710652	0.112	0.049	0.975597858908343	"4"	"ENSDARG00000025858"	"zgc:56525"	"https://zfin.org/ZDB-GENE-040426-1060"	"zgc:56525 [Source:ZFIN;Acc:ZDB-GENE-040426-1060]"	"ZFIN"
"oxsr1a"	0.000382285909132773	0.342469979074238	0.104	0.051	1	"4"	"ENSDARG00000034189"	"oxsr1a"	"https://zfin.org/ZDB-GENE-070620-25"	"oxidative stress responsive kinase 1a [Source:ZFIN;Acc:ZDB-GENE-070620-25]"	"ZFIN"
"msi2b"	0.000108077565307053	0.343162499902092	0.246	0.146	1	"4"	"ENSDARG00000032614"	"msi2b"	"https://zfin.org/ZDB-GENE-040426-1268"	"musashi RNA-binding protein 2b [Source:ZFIN;Acc:ZDB-GENE-040426-1268]"	"ZFIN"
"gnb1b"	3.08685750377003e-05	0.34365002312559	0.201	0.11	0.790914629615957	"4"	"ENSDARG00000104372"	"gnb1b"	"https://zfin.org/ZDB-GENE-040426-2855"	"guanine nucleotide binding protein (G protein), beta polypeptide 1b [Source:ZFIN;Acc:ZDB-GENE-040426-2855]"	"ZFIN"
"eps8l1b"	5.20813299066172e-05	0.344244257157429	0.104	0.045	1	"4"	"ENSDARG00000003313"	"eps8l1b"	"https://zfin.org/ZDB-GENE-050506-143"	"eps8 like 1b [Source:ZFIN;Acc:ZDB-GENE-050506-143]"	"ZFIN"
"sdcbp2"	8.34161928047873e-05	0.344680311719555	0.157	0.082	1	"4"	"ENSDARG00000012513"	"sdcbp2"	"https://zfin.org/ZDB-GENE-030131-3727"	"syndecan binding protein (syntenin) 2 [Source:ZFIN;Acc:ZDB-GENE-030131-3727]"	"ZFIN"
"ehd1a"	4.46189293558802e-05	0.345600952896571	0.112	0.05	1	"4"	"ENSDARG00000098853"	"ehd1a"	"https://zfin.org/ZDB-GENE-040426-2518"	"EH-domain containing 1a [Source:ZFIN;Acc:ZDB-GENE-040426-2518]"	"ZFIN"
"pmp22a"	3.54022104780079e-07	0.347136477236555	0.321	0.179	0.0090707543686752	"4"	"ENSDARG00000105223"	"pmp22a"	"https://zfin.org/ZDB-GENE-030131-6757"	"peripheral myelin protein 22a [Source:ZFIN;Acc:ZDB-GENE-030131-6757]"	"ZFIN"
"ap2m1a"	1.6503479393403e-05	0.348901600082059	0.183	0.093	0.422852149017773	"4"	"ENSDARG00000002790"	"ap2m1a"	"https://zfin.org/ZDB-GENE-030131-9784"	"adaptor related protein complex 2 subunit mu 1a [Source:ZFIN;Acc:ZDB-GENE-030131-9784]"	"ZFIN"
"ndufb7"	5.91498550672013e-05	0.351691015687555	0.138	0.068	1	"4"	"ENSDARG00000033789"	"ndufb7"	"https://zfin.org/ZDB-GENE-040426-1886"	"NADH:ubiquinone oxidoreductase subunit B7 [Source:ZFIN;Acc:ZDB-GENE-040426-1886]"	"ZFIN"
"ctnnb1"	1.49625093173616e-05	0.35253181528792	0.231	0.127	0.38336941372944	"4"	"ENSDARG00000014571"	"ctnnb1"	"https://zfin.org/ZDB-GENE-980526-362"	"catenin (cadherin-associated protein), beta 1 [Source:ZFIN;Acc:ZDB-GENE-980526-362]"	"ZFIN"
"sec61b"	2.43298434170995e-05	0.353899695205578	0.157	0.078	0.623379248032924	"4"	"ENSDARG00000076568"	"sec61b"	"https://zfin.org/ZDB-GENE-040718-260"	"SEC61 translocon beta subunit [Source:ZFIN;Acc:ZDB-GENE-040718-260]"	"ZFIN"
"itm2bb"	2.11557493301525e-05	0.354054807116226	0.127	0.058	0.542052609337167	"4"	"ENSDARG00000041505"	"itm2bb"	"https://zfin.org/ZDB-GENE-040426-2139"	"integral membrane protein 2Bb [Source:ZFIN;Acc:ZDB-GENE-040426-2139]"	"ZFIN"
"rbm8a"	6.50680915940605e-06	0.354735187000793	0.138	0.062	0.166717464282302	"4"	"ENSDARG00000016516"	"rbm8a"	"https://zfin.org/ZDB-GENE-050306-51"	"RNA binding motif protein 8A [Source:ZFIN;Acc:ZDB-GENE-050306-51]"	"ZFIN"
"h2afx1"	0.000228716935271996	0.355664072921573	0.243	0.148	1	"4"	"ENSDARG00000068995"	"h2afx1"	"https://zfin.org/ZDB-GENE-041010-42"	"H2A histone family member X1 [Source:ZFIN;Acc:ZDB-GENE-041010-42]"	"ZFIN"
"ndufb8"	0.000259576995741491	0.355669676869273	0.134	0.071	1	"4"	"ENSDARG00000010113"	"ndufb8"	"https://zfin.org/ZDB-GENE-040426-1858"	"NADH:ubiquinone oxidoreductase subunit B8 [Source:ZFIN;Acc:ZDB-GENE-040426-1858]"	"ZFIN"
"cs"	1.31694841192918e-05	0.35593790440975	0.116	0.05	0.337428522104495	"4"	"ENSDARG00000103364"	"cs"	"https://zfin.org/ZDB-GENE-030131-1058"	"citrate synthase [Source:ZFIN;Acc:ZDB-GENE-030131-1058]"	"ZFIN"
"trip12"	0.000250170816377457	0.357841577978012	0.131	0.068	1	"4"	"ENSDARG00000061397"	"trip12"	"https://zfin.org/ZDB-GENE-041111-262"	"thyroid hormone receptor interactor 12 [Source:ZFIN;Acc:ZDB-GENE-041111-262]"	"ZFIN"
"ddx3xb"	6.2180023069772e-05	0.362483377771572	0.104	0.046	1	"4"	"ENSDARG00000005774"	"ddx3xb"	"https://zfin.org/ZDB-GENE-980526-150"	"DEAD-box helicase 3 X-linked b [Source:ZFIN;Acc:ZDB-GENE-980526-150]"	"ZFIN"
"chmp2bb"	7.73540640508235e-06	0.363067218774028	0.16	0.077	0.19819658291102	"4"	"ENSDARG00000002190"	"chmp2bb"	"https://zfin.org/ZDB-GENE-040426-2539"	"charged multivesicular body protein 2Bb [Source:ZFIN;Acc:ZDB-GENE-040426-2539]"	"ZFIN"
"tubb2b"	3.48744914603542e-06	0.363249012776349	0.127	0.054	0.0893554220197195	"4"	"ENSDARG00000098591"	"tubb2b"	"https://zfin.org/ZDB-GENE-030131-722"	"tubulin, beta 2b [Source:ZFIN;Acc:ZDB-GENE-030131-722]"	"ZFIN"
"phlda1"	0.000100167436612005	0.36420418515474	0.119	0.058	1	"4"	"ENSDARG00000099129"	"phlda1"	"https://zfin.org/ZDB-GENE-041010-103"	"pleckstrin homology-like domain, family A, member 1 [Source:ZFIN;Acc:ZDB-GENE-041010-103]"	"ZFIN"
"sult1st7"	3.1172094857372e-05	0.364981017228022	0.149	0.074	0.798691414435584	"4"	"ENSDARG00000079079"	"sult1st7"	"https://zfin.org/ZDB-GENE-081112-3"	"sulfotransferase family 1, cytosolic sulfotransferase 7 [Source:ZFIN;Acc:ZDB-GENE-081112-3]"	"ZFIN"
"si:ch211-284f22.3"	7.29024584989412e-06	0.366299663050881	0.231	0.126	0.186790679165987	"4"	"ENSDARG00000097055"	"si:ch211-284f22.3"	"https://zfin.org/ZDB-GENE-060526-166"	"si:ch211-284f22.3 [Source:ZFIN;Acc:ZDB-GENE-060526-166]"	"ZFIN"
"ndufv3"	7.02856504719303e-06	0.366522105437735	0.104	0.042	0.18008589363918	"4"	"ENSDARG00000090389"	"ndufv3"	"https://zfin.org/ZDB-GENE-030131-6500"	"NADH:ubiquinone oxidoreductase subunit V3 [Source:ZFIN;Acc:ZDB-GENE-030131-6500]"	"ZFIN"
"marcksl1b"	1.85562534486247e-11	0.366687153604319	0.739	0.516	4.75448325860663e-07	"4"	"ENSDARG00000035715"	"marcksl1b"	"https://zfin.org/ZDB-GENE-040426-2315"	"MARCKS-like 1b [Source:ZFIN;Acc:ZDB-GENE-040426-2315]"	"ZFIN"
"cpda"	8.84066181481602e-05	0.367141788639225	0.101	0.045	1	"4"	"ENSDARG00000055648"	"cpda"	"https://zfin.org/ZDB-GENE-081112-2"	"carboxypeptidase D, a [Source:ZFIN;Acc:ZDB-GENE-081112-2]"	"ZFIN"
"cd63"	0.000132392701861084	0.368039221540619	0.134	0.068	1	"4"	"ENSDARG00000025147"	"cd63"	"https://zfin.org/ZDB-GENE-030131-180"	"CD63 molecule [Source:ZFIN;Acc:ZDB-GENE-030131-180]"	"ZFIN"
"nuak1b"	0.000424742251603114	0.368068546989246	0.101	0.049	1	"4"	"ENSDARG00000028676"	"nuak1b"	"https://zfin.org/ZDB-GENE-131120-18"	"NUAK family, SNF1-like kinase, 1b [Source:ZFIN;Acc:ZDB-GENE-131120-18]"	"ZFIN"
"nupr1a"	2.82037658854963e-05	0.368222950870847	0.112	0.049	0.722636889518186	"4"	"ENSDARG00000094300"	"nupr1a"	"https://zfin.org/ZDB-GENE-070705-255"	"nuclear protein 1a [Source:ZFIN;Acc:ZDB-GENE-070705-255]"	"ZFIN"
"spcs1"	7.78342191028529e-06	0.370350206429327	0.146	0.068	0.19942683618533	"4"	"ENSDARG00000059298"	"spcs1"	"https://zfin.org/ZDB-GENE-050809-130"	"signal peptidase complex subunit 1 [Source:ZFIN;Acc:ZDB-GENE-050809-130]"	"ZFIN"
"zgc:113162"	1.33692146241607e-05	0.37165693795707	0.123	0.055	0.342546017100247	"4"	"ENSDARG00000052923"	"zgc:113162"	"https://zfin.org/ZDB-GENE-050522-530"	"zgc:113162 [Source:ZFIN;Acc:ZDB-GENE-050522-530]"	"ZFIN"
"selenom"	5.1944934520609e-05	0.373153600367632	0.257	0.156	1	"4"	"ENSDARG00000051957"	"selenom"	"https://zfin.org/ZDB-GENE-030410-4"	"selenoprotein M [Source:ZFIN;Acc:ZDB-GENE-030410-4]"	"ZFIN"
"fam169aa"	3.16308425409156e-06	0.376520672969818	0.325	0.195	0.0810445447583339	"4"	"ENSDARG00000059719"	"fam169aa"	"https://zfin.org/ZDB-GENE-060825-117"	"family with sequence similarity 169 member Aa [Source:ZFIN;Acc:ZDB-GENE-060825-117]"	"ZFIN"
"csnk2b"	1.90653667984241e-05	0.377551432062084	0.157	0.077	0.488492828109223	"4"	"ENSDARG00000077776"	"csnk2b"	"https://zfin.org/ZDB-GENE-990415-29"	"casein kinase 2, beta polypeptide [Source:ZFIN;Acc:ZDB-GENE-990415-29]"	"ZFIN"
"negaly6"	0.00012684199605391	0.378072562651505	0.153	0.082	1	"4"	"ENSDARG00000089123"	"negaly6"	"https://zfin.org/ZDB-GENE-131121-604"	"neuromast-expressed gpi-anchored lymphocyte antigen 6 [Source:ZFIN;Acc:ZDB-GENE-131121-604]"	"ZFIN"
"UBB"	0.000318277167777477	0.378496072534975	0.123	0.064	1	"4"	"ENSDARG00000002369"	"UBB"	"https://zfin.org/ZDB-GENE-030131-8486"	"ubiquitin B [Source:HGNC Symbol;Acc:HGNC:12463]"	"HGNC Symbol"
"arhgap36"	1.18277429430604e-05	0.378509991877793	0.101	0.041	0.303050429687094	"4"	"ENSDARG00000059672"	"arhgap36"	"https://zfin.org/ZDB-GENE-060616-298"	"Rho GTPase activating protein 36 [Source:ZFIN;Acc:ZDB-GENE-060616-298]"	"ZFIN"
"si:dkey-103g5.3"	1.73083981837556e-15	0.379366142594265	0.485	0.229	4.43475778264185e-11	"4"	"ENSDARG00000062319"	"si:dkey-103g5.3"	"https://zfin.org/ZDB-GENE-131127-337"	"si:dkey-103g5.3 [Source:ZFIN;Acc:ZDB-GENE-131127-337]"	"ZFIN"
"hmgn6"	1.88345998439943e-05	0.379894215910594	0.302	0.19	0.482580117202823	"4"	"ENSDARG00000087636"	"hmgn6"	"https://zfin.org/ZDB-GENE-030131-1005"	"high mobility group nucleosome binding domain 6 [Source:ZFIN;Acc:ZDB-GENE-030131-1005]"	"ZFIN"
"si:dkeyp-115e12.6"	1.81903380264585e-06	0.382340348455209	0.138	0.059	0.046607284091392	"4"	"ENSDARG00000090986"	"si:dkeyp-115e12.6"	"https://zfin.org/ZDB-GENE-141210-2"	"si:dkeyp-115e12.6 [Source:ZFIN;Acc:ZDB-GENE-141210-2]"	"ZFIN"
"fkbp1aa"	2.07955917673648e-06	0.382650880653299	0.388	0.242	0.0532824652263421	"4"	"ENSDARG00000022684"	"fkbp1aa"	"https://zfin.org/ZDB-GENE-030131-7275"	"FKBP prolyl isomerase 1Aa [Source:ZFIN;Acc:ZDB-GENE-030131-7275]"	"ZFIN"
"tcf7l1a"	6.26736208419654e-06	0.382669749935747	0.149	0.069	0.160582351321284	"4"	"ENSDARG00000038159"	"tcf7l1a"	"https://zfin.org/ZDB-GENE-980605-30"	"transcription factor 7 like 1a [Source:ZFIN;Acc:ZDB-GENE-980605-30]"	"ZFIN"
"tmem258"	6.46339533735025e-06	0.382669969653915	0.16	0.077	0.165605115333588	"4"	"ENSDARG00000078785"	"tmem258"	"https://zfin.org/ZDB-GENE-040426-1739"	"transmembrane protein 258 [Source:ZFIN;Acc:ZDB-GENE-040426-1739]"	"ZFIN"
"zgc:92313"	1.23745664235963e-05	0.382815157970137	0.172	0.086	0.317061140905385	"4"	"ENSDARG00000040513"	"zgc:92313"	"https://zfin.org/ZDB-GENE-040718-339"	"zgc:92313 [Source:ZFIN;Acc:ZDB-GENE-040718-339]"	"ZFIN"
"evpla"	2.08167456382017e-06	0.383207388593973	0.127	0.053	0.0533366656742003	"4"	"ENSDARG00000019808"	"evpla"	"https://zfin.org/ZDB-GENE-030829-19"	"envoplakin a [Source:ZFIN;Acc:ZDB-GENE-030829-19]"	"ZFIN"
"myo5b"	5.91179848339329e-05	0.384521844463234	0.16	0.083	1	"4"	"ENSDARG00000062003"	"myo5b"	"https://zfin.org/ZDB-GENE-031219-7"	"myosin VB [Source:ZFIN;Acc:ZDB-GENE-031219-7]"	"ZFIN"
"cdkn1bb"	8.03110521620424e-06	0.386025218089384	0.381	0.241	0.205772977849585	"4"	"ENSDARG00000054271"	"cdkn1bb"	"https://zfin.org/ZDB-GENE-030521-13"	"cyclin-dependent kinase inhibitor 1Bb [Source:ZFIN;Acc:ZDB-GENE-030521-13]"	"ZFIN"
"gsto2"	2.56169772131714e-06	0.386344638919673	0.101	0.038	0.0656358190155879	"4"	"ENSDARG00000033285"	"gsto2"	"https://zfin.org/ZDB-GENE-041114-67"	"glutathione S-transferase omega 2 [Source:ZFIN;Acc:ZDB-GENE-041114-67]"	"ZFIN"
"lnx2b"	4.07151874254746e-06	0.386749076028282	0.101	0.039	0.104320453221551	"4"	"ENSDARG00000071478"	"lnx2b"	"https://zfin.org/ZDB-GENE-040426-2500"	"ligand of numb-protein X 2b [Source:ZFIN;Acc:ZDB-GENE-040426-2500]"	"ZFIN"
"mgst1.2"	4.63840755741783e-05	0.387907285947855	0.112	0.051	1	"4"	"ENSDARG00000022165"	"mgst1.2"	"https://zfin.org/ZDB-GENE-040704-59"	"microsomal glutathione S-transferase 1.2 [Source:ZFIN;Acc:ZDB-GENE-040704-59]"	"ZFIN"
